name,description
Absorb,"Power: 20.0
Acc.: 100
PP: 25.0
Damage Class: Special
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Accelerock,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Acid,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Acid Armor,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Sharply raises user's Defense.
Prob. (%): nan
"
Acid Spray,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: Sharply lowers opponent's Special Defense.
Prob. (%): 100.0
"
Acrobatics,"Power: 55.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Stronger when the user does not have a held item.
Prob. (%): nan
"
Acupressure,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Sharply raises a random stat.
Prob. (%): nan
"
Aerial Ace,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Physical
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Aeroblast,"Power: 100.0
Acc.: 95
PP: 5.0
Damage Class: Special
Effect: High critical hit ratio.
Prob. (%): nan
"
After You,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Gives target priority in the next turn.
Prob. (%): nan
"
Agility,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Sharply raises user's Speed.
Prob. (%): nan
"
Air Cutter,"Power: 60.0
Acc.: 95
PP: 25.0
Damage Class: Special
Effect: High critical hit ratio.
Prob. (%): nan
"
Air Slash,"Power: 75.0
Acc.: 95
PP: 15.0
Damage Class: Special
Effect: May cause flinching.
Prob. (%): 30.0
"
Ally Switch,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: User switches with opposite teammate.
Prob. (%): nan
"
Amnesia,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Sharply raises user's Special Defense.
Prob. (%): nan
"
Anchor Shot,"Power: 80.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Prob. (%): nan
"
Ancient Power,"Power: 60.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: May raise all user's stats at once.
Prob. (%): 10.0
"
Apple Acid,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Lowers target's Special Defense.
Prob. (%): 100.0
"
Aqua Jet,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Aqua Ring,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Restores a little HP each turn.
Prob. (%): nan
"
