pokemonName,abilityName
Bulbasaur,Leaf Storm
Ivysaur,Horn Leech
Venusaur,Leech Seed
Mega Venusaur,Vine Whip
Venusaur Gigantamax,G-Max Tartness
Charmander,Mind Blown
Charmeleon,Fire Pledge
Mega Charizard Y,Fusion Flare
Charizard Gigantamax,Fire Spin
Mega Charizard X,Flame Wheel
Charizard,Mystical Fire
Squirtle,Aqua Jet
Wartortle,Aqua Tail
Blastoise Gigantamax,Water Spout
Blastoise,Water Spout
Mega Blastoise,Hydro Pump
Caterpie,Pin Missile
Metapod,Infestation
Butterfree Gigantamax,Heal Order
Butterfree,Max Flutterby
Weedle,Bug Buzz
Kakuna,X Scissor
Beedrill,Silver Wind
Mega Beedrill,Max Flutterby
Pidgey,Play Nice
Pidgeotto,Swallow
Pidgeot,Minimize
Mega Pidgeot,Hold Back
Rattata,Smelling Salts
Alolan Rattata,Fling
Raticate,Echoed Voice
Alolan Raticate,Dark Void
Spearow,Secret Power
Fearow,Focus Energy
Ekans,G-Max Malodor
Arbok,Poison Gas
Pikachu Gigantamax,Magnetic Flux
Pikachu,Ion Deluge
Partner Pikachu,Pika Papow
Alolan Raichu,Magnet Rise
Raichu,Buzzy Buzz
Alolan Sandshrew,Hail
Sandshrew,Spikes
Sandslash,Dig
Alolan Sandslash,Avalanche
Nidoran♀,Sludge Bomb
Nidorina,Poison Fang
Nidoqueen,Shell Side Arm
Nidoran♂,Max Ooze
Nidorino,Acid Spray
Nidoking,Acid Spray
Clefairy,Baby Doll Eyes
Clefable,Nature'S Madness
Vulpix,Incinerate
Alolan Vulpix,Blizzard
Ninetales,Pyro Ball
Alolan Ninetales,Sheer Cold
Jigglypuff,Me First
Wigglytuff,G-Max Replenish
Zubat,Cross Poison
Golbat,Poison Fang
Oddish,Leaf Tornado
Gloom,Needle Arm
Vileplume,Drum Beating
Paras,Spider Web
Parasect,Megahorn
Venonat,String Shot
Venomoth,Infestation
Alolan Diglett,Bonemerang
Diglett,Mud Shot
Alolan Dugtrio,Fissure
Dugtrio,Max Quake
Meowth,Teeter Dance
Alolan Meowth,Switcheroo
Galarian Meowth,G-Max Steelsurge
Meowth Gigantamax,Techno Blast
Persian,Double Hit
Alolan Persian,Quash
Psyduck,Steam Eruption
Golduck,G-Max Rapid Flow
Mankey,Final Gambit
Primeape,Circle Throw
Hisuian Growlithe,Max Flare
Growlithe,Ember
Hisuian Arcanine,Sunny Day
Arcanine,Ember
Poliwag,Splishy Splash
Poliwhirl,Bouncy Bubble
Poliwrath,Fishious Rend
Abra,Glitzy Glow
Kadabra,Instruct
Alakazam,Mirror Coat
Mega Alakazam,Rest
Machop,Storm Throw
Machoke,Rock Smash
Machamp Gigantamax,Rock Smash
Machamp,Submission
Bellsprout,Petal Blizzard
Weepinbell,Leech Seed
Victreebel,Cotton Guard
Tentacool,Water Sport
Tentacruel,Aqua Jet
Geodude,Stealth Rock
Alolan Geodude,Diamond Storm
Graveler,Power Gem
Alolan Graveler,Sandstorm
Golem,Accelerock
Alolan Golem,Rock Blast
Ponyta,Flame Wheel
Galarian Ponyta,Imprison
Rapidash,Max Flare
Galarian Rapidash,Gravity
Galarian Slowpoke,Trick
Slowpoke,Snipe Shot
Mega Slowbro,Splishy Splash
Galarian Slowbro,Venom Drench
Slowbro,Bouncy Bubble
Magnemite,Volt Tackle
Magneton,Discharge
Farfetch'd,Snore
Galarian Farfetch'd,High Jump Kick
Doduo,Rage
Dodrio,Double Team
Seel,Crabhammer
Dewgong,Sparkling Aria
Grimer,Acid Spray
Alolan Grimer,Shell Side Arm
Alolan Muk,Poison Powder
Muk,Venoshock
Shellder,Aqua Tail
Cloyster,Max Geyser
Gastly,Spite
Haunter,Spite
Gengar,Nightmare
Gengar Gigantamax,Curse
Mega Gengar,Shadow Ball
Onix,Stealth Rock
Drowzee,Skill Swap
Hypno,Lunar Dance
Krabby,Snipe Shot
Kingler Gigantamax,Aqua Jet
Kingler,Liquidation
Hisuian Voltorb,Thunder Wave
Voltorb,G-Max Volt Crash
Hisuian Electrode,Volt Switch
Electrode,Thunder Punch
Exeggcute,Spore
Alolan Exeggutor,G-Max Drum Solo
Exeggutor,Bullet Seed
Cubone,Rototiller
Alolan Marowak,Inferno
Marowak,Rototiller
Hitmonlee,Double Kick
Hitmonchan,Circle Throw
Lickitung,Odor Sleuth
Koffing,Toxic
Weezing,Sludge Wave
Galarian Weezing,Baneful Bunker
Rhyhorn,Dig
Rhydon,Rototiller
Chansey,Attract
Tangela,G-Max Vine Lash
Kangaskhan,Howl
Mega Kangaskhan,Protect
Horsea,G-Max Hydrosnipe
Seadra,Water Gun
Goldeen,Rain Dance
Seaking,Clamp
Staryu,Whirlpool
Starmie,Scald
Mime Galarian Mr. Mime,Glacial Lance
Mr. Mime,Kinesis
Scyther,Pollen Puff
Jynx,Frost Breath
Electabuzz,Thunder Cage
Magmar,Lava Plume
Mega Pinsir,Twineedle
Pinsir,Fury Cutter
Tauros,Disable
Magikarp,Surging Strikes
Mega Gyarados,Water Pledge
Gyarados,Hydro Cannon
Lapras Gigantamax,Steam Eruption
Lapras,Splishy Splash
Ditto,After You
Partner Eevee,Substitute
Eevee Gigantamax,Take Down
Eevee,Facade
Vaporeon,Whirlpool
Jolteon,Nuzzle
Flareon,Shell Trap
Porygon,Extreme Evoboost
Omanyte,Smack Down
Omastar,Sandstorm
Kabuto,Meteor Beam
Kabutops,Accelerock
Aerodactyl,Power Gem
Mega Aerodactyl,Head Smash
Snorlax Gigantamax,Head Charge
Snorlax,Chip Away
Galarian Articuno,Glitzy Glow
Articuno,Aurora Beam
Galarian Zapdos,Sacred Sword
Zapdos,Charge Beam
Galarian Moltres,Foul Play
Moltres,G-Max Wildfire
Dratini,Dual Chop
Dragonair,Outrage
Dragonite,Core Enforcer
Mega Mewtwo Y,Speed Swap
Mega Mewtwo X,Guard Split
Mewtwo,Instruct
Mew,Barrier
Chikorita,Branch Poke
Bayleef,Leech Seed
Meganium,Razor Leaf
Cyndaquil,Inferno
Quilava,Shell Trap
Hisuian Typhlosion,Fire Spin
Typhlosion,Flare Blitz
Totodile,Water Spout
Croconaw,Waterfall
Feraligatr,Water Spout
Sentret,Echoed Voice
Furret,Mega Punch
Hoothoot,Mean Look
Noctowl,Tickle
Ledyba,X Scissor
Ledian,U Turn
Spinarak,Tail Glow
Ariados,Skitter Smack
Crobat,Poison Tail
Chinchou,Octazooka
Lanturn,Water Gun
Pichu,Shock Wave
Cleffa,Fairy Wind
Igglybuff,Rapid Spin
Togepi,Moonlight
Togetic,Decorate
Natu,Light Screen
Xatu,Magic Coat
Mareep,Thunder Cage
Flaaffy,Electroweb
Ampharos,Zing Zap
Mega Ampharos,Thunder Punch
Bellossom,Absorb
Marill,Surf
Azumarill,Origin Pulse
Sudowoodo,Head Smash
Politoed,Oceanic Operetta
Hoppip,Seed Bomb
Skiploom,Power Whip
Jumpluff,Grass Whistle
Aipom,Copycat
Sunkern,Stun Spore
Sunflora,Apple Acid
Yanma,Sticky Web
Wooper,Hydro Cannon
Quagsire,G-Max Cannonade
Espeon,Mist Ball
Umbreon,Malicious Moonsault
Murkrow,Switcheroo
Slowking,Bubble Beam
Galarian Slowking,Coil
Misdreavus,Trick Or Treat
Unown,Psystrike
Wobbuffet,Confusion
Girafarig,Spit Up
Pineco,Tail Glow
Forretress,Struggle Bug
Dunsparce,Play Nice
Gligar,G-Max Sandblast
Steelix,King'S Shield
Mega Steelix,Sunsteel Strike
Snubbull,Dazzling Gleam
Granbull,Max Starfall
Hisuian Qwilfish,Taunt
Qwilfish,Razor Shell
Mega Scizor,X Scissor
Scizor,Tail Glow
Shuckle,Fell Stinger
Heracross,Defend Order
Mega Heracross,Infestation
Hisuian Sneasel,Acid Armor
Sneasel,Power Trip
Teddiursa,Spit Up
Ursaring,Shell Smash
Slugma,Blast Burn
Magcargo,Searing Shot
Swinub,Freeze Dry
Piloswine,Ice Fang
Corsola,Water Pledge
Galarian Corsola,Moongeist Beam
Remoraid,Splishy Splash
Octillery,Hydro Pump
Delibird,Icy Wind
Mantine,Muddy Water
Skarmory,G-Max Steelsurge
Houndour,Punishment
Houndoom,G-Max Snooze
Mega Houndoom,Obstruct
Kingdra,Razor Shell
Phanpy,Shore Up
Donphan,Land'S Wrath
Porygon2,Pain Split
Stantler,Spike Cannon
Smeargle,Harden
Tyrogue,Mat Block
Hitmontop,Drain Punch
Smoochum,Ice Ball
Elekid,Thunder Punch
Magby,Flamethrower
Miltank,Sing
Blissey,Noble Roar
Raikou,G-Max Volt Crash
Entei,Sunny Day
Suicune,Max Geyser
Larvitar,Ancient Power
Pupitar,Smack Down
Mega Tyranitar,Rock Throw
Tyranitar,Sandstorm
Lugia,Psychic
Ho-oh,G-Max Fireball
Celebi,Psywave
Treecko,Worry Seed
Grovyle,Vine Whip
Mega Sceptile,Seed Bomb
Sceptile,Ingrain
Torchic,Heat Wave
Combusken,Fire Pledge
Blaziken,G-Max Fireball
Mega Blaziken,Inferno
Mudkip,Surf
Marshtomp,Flip Turn
Mega Swampert,Muddy Water
Swampert,Rain Dance
Poochyena,Knock Off
Mightyena,Jaw Lock
Zigzagoon,Vise Grip
Galarian Zigzagoon,G-Max One Blow
Linoone,Tickle
Galarian Linoone,Brutal Swing
Wurmple,Max Flutterby
Silcoon,X Scissor
Beautifly,Signal Beam
Cascoon,Skitter Smack
Dustox,G-Max Befuddle
Lotad,Brine
Lombre,Dive
Ludicolo,Brine
Seedot,Absorb
Nuzleaf,Bullet Seed
Shiftry,Leaf Storm
Taillow,Strength
Swellow,Spotlight
Wingull,Water Shuriken
Pelipper,Razor Shell
Ralts,Mist Ball
Kirlia,Extrasensory
Gardevoir,Kinesis
Mega Gardevoir,Max Mindstorm
Surskit,Rage Powder
Masquerain,Pollen Puff
Shroomish,Snap Trap
Breloom,Cotton Spore
Slakoth,Disable
Vigoroth,Lucky Chant
Slaking,Camouflage
Nincada,Megahorn
Ninjask,Bug Buzz
Shedinja,Megahorn
Whismur,Struggle
Loudred,Follow Me
Exploud,Spit Up
Makuhita,Secret Sword
Hariyama,Detect
Azurill,Psych Up
Nosepass,Rock Tomb
Skitty,Hidden Power
Delcatty,Scary Face
Mega Sableye,Snarl
Sableye,Fling
Mawile,Steel Roller
Mega Mawile,Sunsteel Strike
Aron,Shift Gear
Lairon,Metal Claw
Aggron,Heavy Slam
Mega Aggron,Metal Sound
Meditite,Bulk Up
Medicham,Max Knuckle
